CONSULTA DE ACONSELHAMENTO PARA PLANEJAMENTO FAMILIAR;N/A;N/A;N/A;AMB;N/A;N/A;REF;N/A;N/A;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS
CONSULTA COM ENFERMEIRO OBSTETRA OU OBSTETRIZ (COM DIRETRIZ DE UTILIZAÇÃO);N/A;N/A;N/A;AMB;HCO;N/A;REF;N/A;135.0;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS
CONSULTA/AVALIAÇÃO COM FISIOTERAPEUTA;541/2022;44774.0;N/A;AMB;N/A;N/A;REF;N/A;N/A;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS
CONSULTA MÉDICA;N/A;N/A;N/A;AMB;N/A;N/A;REF;N/A;N/A;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS
CONSULTA ODONTOLÓGICA;N/A;N/A;OD;N/A;N/A;N/A;N/A;N/A;N/A;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS
CONSULTA ODONTOLÓGICA INICIAL;N/A;N/A;OD;N/A;N/A;N/A;N/A;N/A;N/A;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS
CONSULTA ODONTOLÓGICA DE URGÊNCIA;N/A;N/A;OD;N/A;N/A;N/A;N/A;N/A;N/A;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS
CONSULTA ODONTOLÓGICA PARA AVALIAÇÃO TÉCNICA DE AUDITORIA;N/A;N/A;OD;N/A;N/A;N/A;N/A;N/A;N/A;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS
CONSULTA/AVALIAÇÃO COM PSICÓLOGO;541/2022;44774.0;N/A;AMB;N/A;N/A;REF;N/A;N/A;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS
SESSÃO COM PSICÓLOGO;541/2022;44774.0;N/A;AMB;N/A;N/A;REF;N/A;N/A;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS
CONSULTA/AVALIAÇÃO COM FONOAUDIÓLOGO;541/2022;44774.0;N/A;AMB;N/A;N/A;REF;N/A;N/A;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS
SESSÃO COM FONOAUDIÓLOGO;541/2022;44774.0;N/A;AMB;N/A;N/A;REF;N/A;N/A;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS
CONSULTA COM NUTRICIONISTA (COM DIRETRIZ DE UTILIZAÇÃO);N/A;N/A;N/A;AMB;N/A;N/A;REF;N/A;103.0;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS
CONSULTA/AVALIAÇÃO COM TERAPEUTA OCUPACIONAL;541/2022;44774.0;N/A;AMB;N/A;N/A;REF;N/A;N/A;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS
SESSÃO COM TERAPEUTA OCUPACIONAL;541/2022;44774.0;N/A;AMB;N/A;N/A;REF;N/A;N/A;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS
TRANSPORTE EXTRA-HOSPITALAR DE PACIENTES GRAVES COM ACOMPANHAMENTO MÉDICO, DO ESTABELECIMENTO HOSPITALAR DE ORIGEM PARA OUTRO ESTABELECIMENTO DE SAÚDE;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS
VISITA HOSPITALAR;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS
ACOMPANHAMENTO CLÍNICO AMBULATORIAL PÓS-TRANSPLANTE DE CÓRNEA;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;AVALIAÇÕES/ACOMPANHAMENTOS;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
ACOMPANHAMENTO CLÍNICO AMBULATORIAL PÓS-TRANSPLANTE DE MEDULA ÓSSEA;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;AVALIAÇÕES/ACOMPANHAMENTOS;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
ACOMPANHAMENTO CLÍNICO AMBULATORIAL PÓS-TRANSPLANTE HEPÁTICO ;546/2022;44837.0;N/A;N/A;HCO;HSO;REF;N/A;N/A;AVALIAÇÕES/ACOMPANHAMENTOS;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
ACOMPANHAMENTO CLÍNICO AMBULATORIAL PÓS-TRANSPLANTE RENAL;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;AVALIAÇÕES/ACOMPANHAMENTOS;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
ACOMPANHAMENTO CLÍNICO DE TRANSPLANTE HEPÁTICO NO PERÍODO DE INTERNAÇÃO DO RECEPTOR E DO DOADOR;546/2022;44837.0;N/A;N/A;HCO;HSO;REF;PAC;N/A;AVALIAÇÕES/ACOMPANHAMENTOS;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
ACOMPANHAMENTO CLÍNICO DE TRANSPLANTE RENAL NO PERÍODO DE INTERNAÇÃO DO RECEPTOR E DO DOADOR;N/A;N/A;N/A;N/A;HCO;HSO;REF;PAC;N/A;AVALIAÇÕES/ACOMPANHAMENTOS;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
AVALIAÇÃO CLÍNICA DIARIA ENTERAL E/OU PARENTERAL;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;AVALIAÇÕES/ACOMPANHAMENTOS;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
AVALIAÇÃO CLÍNICA E ELETRÔNICA DE PACIENTE PORTADOR DE DISPOSITIVO CARDÍACO ELETRÔNICO IMPLANTÁVEL (MARCA-PASSO, ESTIMULADOR MULTISSÍTIO/RESSINCRONIZADOR, DESFIBRILADOR OU MONITOR DE EVENTOS);N/A;N/A;N/A;AMB;HCO;HSO;REF;N/A;N/A;AVALIAÇÕES/ACOMPANHAMENTOS;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
CARDIOVERSÃO ELÉTRICA COM ELETROCARDIOGRAMA;N/A;N/A;N/A;AMB;HCO;HSO;REF;N/A;N/A;AVALIAÇÕES/ACOMPANHAMENTOS;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
CONTROLE DE BIOFILME DENTAL (PLACA BACTERIANA);N/A;N/A;OD;N/A;N/A;N/A;N/A;N/A;N/A;AVALIAÇÕES/ACOMPANHAMENTOS;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
FORNECIMENTO DE EQUIPAMENTOS COLETORES  E ADJUVANTES PARA COLOSTOMIA, ILEOSTOMIA E UROSTOMIA, SONDA VESICAL DE DEMORA E COLETOR DE URINA (COM PROTOCOLO DE UTILIZAÇÃO - PROUT);N/A;N/A;N/A;AMB;HCO;HSO;REF;N/A;N/A;AVALIAÇÕES/ACOMPANHAMENTOS;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
PROFILAXIA: POLIMENTO CORONÁRIO;N/A;N/A;OD;N/A;N/A;N/A;N/A;N/A;N/A;AVALIAÇÕES/ACOMPANHAMENTOS;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
TERAPIA ANTINEOPLÁSICA ORAL PARA TRATAMENTO DO CÂNCER (COM DIRETRIZ DE UTILIZAÇÃO);N/A;N/A;N/A;AMB;HCO;HSO;REF;PAC;64.0;AVALIAÇÕES/ACOMPANHAMENTOS;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
TESTE DE PROVOCAÇÃO ORAL COM ALIMENTOS (COM DIRETRIZ DE UTILIZAÇÃO) ;536/2022;44687.0;N/A;AMB;HCO;HSO;REF;N/A;152.0;AVALIAÇÕES/ACOMPANHAMENTOS;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
MEDICAMENTOS PARA O CONTROLE DE EFEITOS ADVERSOS E ADJUVANTES RELACIONADOS A TRATAMENTOS ANTINEOPLÁSICOS (COM DIRETRIZ DE UTILIZAÇÃO);N/A;N/A;N/A;AMB;N/A;N/A;REF;PAC;54.0;AVALIAÇÕES/ACOMPANHAMENTOS;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
CARDIOTOCOGRAFIA;N/A;N/A;N/A;AMB;HCO;HSO;REF;N/A;N/A;MONITORIZAÇÕES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
HOLTER DE 24 HORAS - 2 OU MAIS CANAIS - ANALÓGICO OU DIGITAL;N/A;N/A;N/A;AMB;N/A;N/A;REF;N/A;N/A;MONITORIZAÇÕES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
MONITORIZAÇÃO AMBULATORIAL DA PRESSÃO ARTERIAL - MAPA (24 HORAS) - COM DIRETRIZ DE UTILIZAÇÃO;N/A;N/A;N/A;AMB;N/A;N/A;REF;N/A;56.0;MONITORIZAÇÕES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
MONITORIZAÇÃO AMBULATORIAL DA PRESSÃO ARTERIAL DE 5 DIAS - MAPA 5 DIAS (MONITORIZAÇÃO RESIDENCIAL DA PRESSÃO ARTERIAL - MRPA) - COM DIRETRIZ DE UTILIZAÇÂO;581/2023;12/072023;N/A;AMB;N/A;N/A;REF;N/A;162.0;MONITORIZAÇÕES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
MONITORIZAÇÃO DA PRESSÃO INTRACRANIANA;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;MONITORIZAÇÕES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
MONITORIZAÇÃO HEMODINÂMICA INVASIVA OU NÃO INVASIVA;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;MONITORIZAÇÕES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
MONITORIZAÇÃO NEUROFISIOLÓGICA INTRA-OPERATÓRIA;N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;MONITORIZAÇÕES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
POTENCIAL EVOCADO INTRA-OPERATÓRIO - MONITORIZAÇÃO CIRÚRGICA (PE/IO);N/A;N/A;N/A;N/A;HCO;HSO;REF;N/A;N/A;MONITORIZAÇÕES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
TESTE DE INCLINAÇÃO ORTOSTÁTICA (TILT TEST) - COM DIRETRIZ DE UTILIZAÇÃO;N/A;N/A;N/A;AMB;HCO;HSO;REF;PAC;67.0;MONITORIZAÇÕES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
ADAPTAÇÃO E TREINAMENTO DE RECURSOS ÓPTICOS;N/A;N/A;N/A;AMB;N/A;N/A;REF;N/A;N/A;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
AMPUTAÇÃO (PREPARAÇÃO DO COTO E TREINAMENTO PROTÉTICO);N/A;N/A;N/A;AMB;HCO;HSO;REF;N/A;N/A;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
BIOFEEDBACK COM EMG;N/A;N/A;N/A;AMB;HCO;HSO;REF;N/A;N/A;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
EXERCÍCIOS DE ORTÓPTICA;N/A;N/A;N/A;AMB;N/A;N/A;REF;N/A;N/A;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
INFILTRAÇÃO DE PONTO GATILHO OU AGULHAMENTO SECO;N/A;N/A;N/A;AMB;HCO;HSO;REF;N/A;N/A;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
REABILITACAO E REEDUCACAO DE SEQÜELAS EM TRAUMATISMOS E POLITRAUMATIZADOS;N/A;N/A;N/A;AMB;HCO;HSO;REF;N/A;N/A;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
REABILITAÇÃO LABIRÍNTICA;N/A;N/A;N/A;AMB;HCO;HSO;REF;N/A;N/A;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
REABILITAÇÃO PERINEAL/VESICO-URETRAL COM OU SEM BIOFEEDBACK;N/A;N/A;N/A;AMB;HCO;HSO;REF;N/A;N/A;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
REEDUACAÇÃO E REABILITAÇÃO DE QUEIMADOS PARA PREVENÇÃO DE SEQUELAS;N/A;N/A;N/A;AMB;HCO;HSO;REF;N/A;N/A;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
REEDUCAÇÃO E REABILITAÇÃO CARDIOVASCULAR;N/A;N/A;N/A;AMB;HCO;HSO;REF;N/A;N/A;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
REEDUCAÇÃO E REABILITAÇÃO DO SISTEMA LINFÁTICO E/OU VASCULAR PERIFÉRICO;N/A;N/A;N/A;AMB;HCO;HSO;REF;N/A;N/A;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
REEDUCAÇÃO E REABILITAÇÃO DO SISTEMA MÚSCULO-ESQUELÉTICO POR DISTÚRBIOS CONGÊNITOS OU REUMÁTICOS;N/A;N/A;N/A;AMB;HCO;HSO;REF;N/A;N/A;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
REEDUCAÇÃO E REABILITAÇÃO NEUROLÓGICA;N/A;N/A;N/A;AMB;HCO;HSO;REF;N/A;N/A;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
REEDUCAÇÃO E REABILITAÇÃO NEURO-MÚSCULO-ESQUELÉTICA;N/A;N/A;N/A;AMB;HCO;HSO;REF;N/A;N/A;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
REEDUCAÇÃO E REABILITAÇÃO NO RETARDO DO DESENVOLVIMENTO PSICOMOTOR;N/A;N/A;N/A;AMB;HCO;HSO;REF;N/A;N/A;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
REEDUCAÇÃO E REABILITAÇÃO RESPIRATÓRIA;N/A;N/A;N/A;AMB;HCO;HSO;REF;N/A;N/A;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
REEDUCAÇÃO E REABILITAÇÃO TRAUMATO-ORTOPÉDICA (EXCLUI TÉCNICAS CINESIOTERÁPICAS ESPECÍFICAS);N/A;N/A;N/A;AMB;HCO;HSO;REF;N/A;N/A;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
REEDUCAÇÃO E/OU REABILITAÇÃO DE DISTÚRBIOS CRÂNIO-FACIAIS;N/A;N/A;N/A;AMB;HCO;HSO;REF;N/A;N/A;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
REEDUCAÇÃO E/OU REABILITAÇÃO NOS PROCESSOS INFLAMATÓRIOS PÉLVICOS;N/A;N/A;N/A;AMB;HCO;HSO;REF;N/A;N/A;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
ACTINOTERAPIA;N/A;N/A;N/A;AMB;HCO;HSO;REF;N/A;N/A;TERAPÊUTICA;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
APLICAÇÃO DE CARIOSTÁTICO (COM DIRETRIZ DE UTILIZAÇÃO);N/A;N/A;OD;N/A;N/A;N/A;N/A;N/A;79.0;TERAPÊUTICA;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
APLICAÇÃO DE HIPOSSENSIBILIZANTE;N/A;N/A;N/A;AMB;HCO;HSO;REF;N/A;N/A;TERAPÊUTICA;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
APLICAÇÃO DE SELANTE (COM DIRETRIZ DE UTILIZAÇÃO);N/A;N/A;OD;N/A;N/A;N/A;N/A;N/A;80.0;TERAPÊUTICA;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
APLICAÇÃO TÓPICA DE FLÚOR;N/A;N/A;OD;N/A;N/A;N/A;N/A;N/A;N/A;TERAPÊUTICA;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
APLICAÇÃO TÓPICA DE VERNIZ FLUORETADO;N/A;N/A;OD;N/A;N/A;N/A;N/A;N/A;N/A;TERAPÊUTICA;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
BETATERAPIA;N/A;N/A;N/A;AMB;HCO;HSO;REF;PAC;N/A;TERAPÊUTICA;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
